commodity,week_start_date,price,currency,unit,source,market_type,region,fx_rate,rainfall_index,extraction_date,data_quality_score,is_validated,notes
Cashew Nuts,2025-01-08,2100000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-01-09,2100000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-01-10,2100000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-01-13,2100000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-01-14,2100000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-01-15,2100000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-01-16,2000000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-01-17,2000000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-01-20,2000000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-01-21,2000000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-01-22,1850000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-01-23,1850000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-01-24,1700000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-01-27,1650000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-01-28,1550000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-01-29,1550000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-01-30,1450000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-01-31,1380000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-02-03,1320000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-02-04,1320000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-02-05,1320000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-02-06,1320000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-02-07,1320000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-02-10,1350000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-02-11,1350000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-02-13,1350000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-02-14,1850000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-02-17,1850000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-02-18,1850000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-02-19,1945000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-02-20,1945000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-02-21,1945000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-02-24,1900000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-02-25,1900000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-02-26,1900000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-02-27,1900000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-02-28,1900000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-10,0.95,True,Historical data from Instagram posts (Jan-Feb 2025)
Cashew Nuts,2025-06-10,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-06-11,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-06-13,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-06-16,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-06-17,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-06-18,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-06-19,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-06-20,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-06-23,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-06-24,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-06-25,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-06-26,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-06-27,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-06-30,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-07-01,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-07-02,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-07-03,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-07-04,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-07-07,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-07-08,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-07-09,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-07-10,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-07-11,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-07-14,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-07-15,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-07-16,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
Cashew Nuts,2025-07-17,2300000,NGN,NGN/MT,Agricom,wholesale,National,1650,,2026-03-06,0.95,True,Historical data from Instagram posts (June-July 2025)
